Job Title,Job Category,Company,Salary,Skills Required
Digital Marketing Specialist,Digital Marketing,Meta,12 LPA,"SEM, Email Marketing, Content Marketing, Google Analytics, SEO"
Business Analyst,Business Analysis,Infosys,10 LPA,"Power BI, Business Analysis, Requirement Gathering, Excel"
Digital Marketing Specialist,Digital Marketing,Cisco,8 LPA,"SEO, SEM, Google Analytics"
DevOps Engineer,DevOps,Microsoft,24 LPA,"Linux, AWS, CI/CD, Docker, Kubernetes"
Business Analyst,Business Analysis,IBM,10 LPA,"Business Analysis, Power BI, SQL, Requirement Gathering, Excel"
Business Analyst,Business Analysis,Infosys,14 LPA,"SQL, Excel, Business Analysis, Requirement Gathering, Tableau"
AI Engineer,Artificial Intelligence,Capgemini,30 LPA,"Python, Deep Learning, NLP, Computer Vision, TensorFlow"
AI Engineer,Artificial Intelligence,Capgemini,25 LPA,"Python, Computer Vision, TensorFlow, Deep Learning"
DevOps Engineer,DevOps,Meta,32 LPA,"Docker, Kubernetes, AWS, Linux, Jenkins"
Digital Marketing Specialist,Digital Marketing,Deloitte,8 LPA,"SEM, Google Analytics, SEO, Email Marketing, Content Marketing"
Database Administrator,Database Management,Amazon,18 LPA,"Backup and Recovery, Database Design, Performance Tuning, SQL, Oracle, PostgreSQL"
DevOps Engineer,DevOps,TCS,28 LPA,"CI/CD, Kubernetes, AWS, Jenkins"
Security Analyst,Cybersecurity,Meta,26 LPA,"Network Security, Firewall Management, Python, Incident Response, Ethical Hacking"
Cloud Engineer,Cloud Computing,Cisco,32 LPA,"Linux, Terraform, AWS, Docker, Kubernetes, Cloud Security"
Business Analyst,Business Analysis,Google,16 LPA,"SQL, Business Analysis, Requirement Gathering, Tableau, Power BI, Agile Methodology"
AI Engineer,Artificial Intelligence,IBM,25 LPA,"Python, Computer Vision, TensorFlow, Deep Learning, PyTorch"
Java Developer,Software Engineering,Microsoft,20 LPA,"SQL, Maven, Java, Spring Boot, OOP Concepts"
Business Analyst,Business Analysis,Capgemini,10 LPA,"Power BI, Requirement Gathering, Tableau, SQL, Business Analysis, Excel"
Java Developer,Software Engineering,Microsoft,20 LPA,"Data Structures, Maven, Spring Boot, Java, Hibernate"
Security Analyst,Cybersecurity,Deloitte,26 LPA,"Ethical Hacking, Python, Incident Response, Network Security"
Senior Data Scientist,Data Science,Meta,30 LPA,"Python, Machine Learning, Pandas, Statistics, TensorFlow, SQL"
Digital Marketing Specialist,Digital Marketing,TCS,8 LPA,"Google Analytics, Content Marketing, SEO"
DevOps Engineer,DevOps,Capgemini,24 LPA,"Linux, Jenkins, Kubernetes, AWS"
Frontend Developer,Web Development,Meta,15 LPA,"CSS, React, JavaScript, Responsive Design, HTML"
Digital Marketing Specialist,Digital Marketing,Google,12 LPA,"Google Analytics, Content Marketing, Email Marketing, SEM, SEO"
Java Developer,Software Engineering,Capgemini,20 LPA,"OOP Concepts, Maven, Java, Data Structures, Spring Boot, SQL"
AI Engineer,Artificial Intelligence,Infosys,35 LPA,"NLP, Python, Computer Vision, PyTorch"
Java Developer,Software Engineering,Deloitte,20 LPA,"Java, Maven, OOP Concepts, Data Structures, Spring Boot, SQL"
Database Administrator,Database Management,Meta,20 LPA,"Performance Tuning, Database Design, Backup and Recovery"
Cloud Engineer,Cloud Computing,Google,25 LPA,"Docker, AWS, Kubernetes, Terraform"
DevOps Engineer,DevOps,Microsoft,24 LPA,"Docker, CI/CD, Kubernetes, Linux, Jenkins, Ansible"
Security Analyst,Cybersecurity,Infosys,30 LPA,"Network Security, Python, Ethical Hacking, Incident Response"
Frontend Developer,Web Development,Meta,15 LPA,"Responsive Design, HTML, CSS, JavaScript, Git, Next.js"
Cloud Engineer,Cloud Computing,Capgemini,32 LPA,"AWS, Terraform, Docker, Linux, Cloud Security"
Digital Marketing Specialist,Digital Marketing,Capgemini,8 LPA,"Content Marketing, Google Analytics, SEM"
Security Analyst,Cybersecurity,Accenture,22 LPA,"Python, Incident Response, Network Security, Firewall Management, Ethical Hacking"
Database Administrator,Database Management,Amazon,15 LPA,"SQL, Backup and Recovery, Oracle, Performance Tuning, Database Design"
Backend Developer,Web Development,Deloitte,18 LPA,"Python, Git, APIs, Flask"
Frontend Developer,Web Development,IBM,12 LPA,"Responsive Design, React, JavaScript, HTML, Git"
Java Developer,Software Engineering,Deloitte,20 LPA,"Maven, Data Structures, OOP Concepts, Spring Boot, SQL, Java"
Digital Marketing Specialist,Digital Marketing,Microsoft,10 LPA,"SEO, Google Analytics, SEM, Email Marketing, Content Marketing"
Security Analyst,Cybersecurity,IBM,26 LPA,"Network Security, Incident Response, Python, Ethical Hacking, Firewall Management"
