Skill,Learning Resource
Ansible,LinkedIn Learning: Ansible Professional Certificate
Ethical Hacking,LinkedIn Learning: Ethical Hacking Specialization
Linux,LinkedIn Learning: Linux Crash Course
APIs,LinkedIn Learning: APIs Professional Certificate
Flask,edX: Flask Specialization
Firewall Management,LinkedIn Learning: Firewall Management Crash Course
Machine Learning,LinkedIn Learning: Machine Learning Beginner to Advanced Course
Incident Response,edX: Incident Response Beginner to Advanced Course
Tableau,Udemy: Tableau Crash Course
Maven,Coursera: Maven Crash Course
Cryptography,Udemy: Cryptography Crash Course
Excel,edX: Excel Masterclass
NLP,edX: NLP Professional Certificate
Statistics,LinkedIn Learning: Statistics Masterclass
JUnit,Udemy: JUnit Specialization
Data Visualization,edX: Data Visualization Specialization
Deep Learning,Udemy: Deep Learning Crash Course
Backup and Recovery,Coursera: Backup and Recovery Beginner to Advanced Course
Network Security,Coursera: Network Security Professional Certificate
Requirement Gathering,edX: Requirement Gathering Professional Certificate
JavaScript,Pluralsight: JavaScript Masterclass
Business Analysis,edX: Business Analysis Beginner to Advanced Course
Java,Pluralsight: Java Specialization
Jenkins,Udemy: Jenkins Masterclass
Kubernetes,Coursera: Kubernetes Crash Course
Cloud Security,Pluralsight: Cloud Security Masterclass
Next.js,Pluralsight: Next.js Crash Course
PySpark,LinkedIn Learning: PySpark Masterclass
CI/CD,LinkedIn Learning: CI/CD Beginner to Advanced Course
React,LinkedIn Learning: React Specialization
Content Marketing,edX: Content Marketing Beginner to Advanced Course
PyTorch,edX: PyTorch Masterclass
Pandas,LinkedIn Learning: Pandas Beginner to Advanced Course
CSS,Pluralsight: CSS Specialization
AWS,edX: AWS Specialization
Django,Pluralsight: Django Masterclass
Python,Udemy: Python Masterclass
PostgreSQL,Coursera: PostgreSQL Specialization
Performance Tuning,Coursera: Performance Tuning Masterclass
Docker,edX: Docker Professional Certificate
Social Media Marketing,Coursera: Social Media Marketing Professional Certificate
Database Design,Udemy: Database Design Specialization
OOP Concepts,Pluralsight: OOP Concepts Crash Course
GCP,edX: GCP Beginner to Advanced Course
Responsive Design,LinkedIn Learning: Responsive Design Professional Certificate
SQL,edX: SQL Masterclass
Azure,Udemy: Azure Beginner to Advanced Course
Google Analytics,Udemy: Google Analytics Masterclass
Data Structures,Pluralsight: Data Structures Masterclass
Git,Pluralsight: Git Masterclass
Bootstrap,LinkedIn Learning: Bootstrap Specialization
Email Marketing,Pluralsight: Email Marketing Masterclass
SEO,Coursera: SEO Crash Course
Terraform,LinkedIn Learning: Terraform Crash Course
SIEM,LinkedIn Learning: SIEM Masterclass
Data Analysis,Coursera: Data Analysis Beginner to Advanced Course
Power BI,edX: Power BI Professional Certificate
TensorFlow,Coursera: TensorFlow Masterclass
Oracle,Udemy: Oracle Professional Certificate
Hadoop,Coursera: Hadoop Masterclass
Spring Boot,Udemy: Spring Boot Specialization
HTML,Pluralsight: HTML Professional Certificate
Agile Methodology,Udemy: Agile Methodology Professional Certificate
Hibernate,Udemy: Hibernate Crash Course
Computer Vision,edX: Computer Vision Beginner to Advanced Course
SEM,Pluralsight: SEM Beginner to Advanced Course
